context,eps,min_samples,gap_entropy,change_object_entropy,change_object_completness,change_object_homegenity,change_object_vmeasure,row_based_entropy,row_based_completness,row_based_homegenity,row_based_vmeasure
2,0.25,2,18601.386149848164,0.53450187157857,0.03617020143858417,0.7592799668795764,0.06905098633238617,1.413776764581205,0.13695914719086996,0.7375522362916413,0.2310193490883068
2,0.25,5,24317.89817834446,3.7604073602225747,0.05518914375159957,0.6491062879579946,0.10172895811413495,4.33385116795439,0.14037814600076562,0.5977407551992782,0.2273610359186049
2,0.25,10,26342.877540543563,14.474154157915416,0.05779263422510156,0.47475803132920696,0.10304190389652283,9.409056595652082,0.12796235978558324,0.4359747088145125,0.19785311394842423
2,0.25,20,27996.338486283155,68.32851131945206,0.0489485436983207,0.24728758391668024,0.08172107301597621,37.24120996643793,0.10809988439430042,0.20785028250063795,0.14222870480149508
2,0.25,30,28593.018041576124,147.2636094396779,0.03532525802601832,0.14115231384908325,0.056508505355199426,67.1102442701676,0.08671821314826786,0.09159887511991308,0.08909175058807417
2,0.25,50,29062.7151216249,295.4134104798983,0.013673672397311707,0.04285351126471334,0.020732144647844827,98.76604344496623,0.07742709635047713,0.045076756685208504,0.05698045076208274
2,0.5,2,18601.386149848164,0.53450187157857,0.03617020143858417,0.7592799668795764,0.06905098633238617,1.413776764581205,0.13695914719086996,0.7375522362916413,0.2310193490883068
2,0.5,5,24317.89817834446,3.7604073602225747,0.05518914375159957,0.6491062879579946,0.10172895811413495,4.33385116795439,0.14037814600076562,0.5977407551992782,0.2273610359186049
2,0.5,10,26342.877540543563,14.474154157915416,0.05779263422510156,0.47475803132920696,0.10304190389652283,9.409056595652082,0.12796235978558324,0.4359747088145125,0.19785311394842423
2,0.5,20,27996.338486283155,68.32851131945206,0.0489485436983207,0.24728758391668024,0.08172107301597621,37.24120996643793,0.10809988439430042,0.20785028250063795,0.14222870480149508
2,0.5,30,28593.018041576124,147.2636094396779,0.03532525802601832,0.14115231384908325,0.056508505355199426,67.1102442701676,0.08671821314826786,0.09159887511991308,0.08909175058807417
2,0.5,50,29062.7151216249,295.4134104798983,0.013673672397311707,0.04285351126471334,0.020732144647844827,98.76604344496623,0.07742709635047713,0.045076756685208504,0.05698045076208274
2,0.75,2,18723.52932866603,0.5422127860538815,0.0363724237745953,0.7593208185905255,0.06941956302796884,1.413776764581205,0.13695914719086996,0.7375522362916413,0.2310193490883068
2,0.75,5,24411.585137350794,3.9505966121965814,0.05551010378387748,0.6492792559827145,0.1022761152247113,4.33385116795439,0.14037814600076562,0.5977407551992782,0.2273610359186049
2,0.75,10,26305.026268545065,14.433364582012171,0.05663433227137296,0.4762382143447367,0.10123033525671882,9.09640736692834,0.12781953313535505,0.43712665463660494,0.19780052021246192
2,0.75,20,27921.164488548424,68.14915355313235,0.04778915077420865,0.2492634036004812,0.08020187809683268,37.24120996643793,0.10809988439430042,0.20785028250063795,0.14222870480149508
2,0.75,30,28405.772798463295,119.92342889559899,0.033474057952107686,0.14517951254916084,0.05440414544074112,67.1102442701676,0.08671821314826786,0.09159887511991308,0.08909175058807417
2,0.75,50,29062.7151216249,295.4134104798983,0.013673672397311707,0.04285351126471334,0.020732144647844827,98.76604344496623,0.07742709635047713,0.045076756685208504,0.05698045076208274
2,1.0,2,18775.898849381145,0.5437541546551812,0.03642438937414286,0.7593413414311371,0.06951428948864753,1.413776764581205,0.13695914719086996,0.7375522362916413,0.2310193490883068
2,1.0,5,24462.291242497813,3.9792976717269255,0.05565098944520687,0.6493098758383042,0.10251558299598347,4.33385116795439,0.14037814600076562,0.5977407551992782,0.2273610359186049
2,1.0,10,26311.22704087354,14.421324683255989,0.05637917068166916,0.47667512140378054,0.10083231081092604,9.09640736692834,0.12781953313535505,0.43712665463660494,0.19780052021246192
2,1.0,20,27946.224710899456,68.03041083145457,0.04716202632625152,0.2505714830419977,0.0793827937265755,34.073297800361686,0.10810308406409357,0.20934646173410995,0.1425801262021595
2,1.0,30,28455.969343061708,131.66106876086008,0.03338239093427473,0.14683000028417242,0.05439733014168202,58.614460675091635,0.08711234327811004,0.0932541761814026,0.09007868901584276
2,1.0,50,28793.645918513932,208.7859701192647,0.014022467033621101,0.05293987493292371,0.022172093424744094,82.14598904697708,0.07864344611659603,0.04692206086294992,0.05877589560891343
2,1.25,2,18760.706583154042,0.5428661454431691,0.03637312417369437,0.7593825831412678,0.06942109679649615,1.413776764581205,0.13695914719086996,0.7375522362916413,0.2310193490883068
2,1.25,5,24437.14047466115,3.9489842413026714,0.055434071091407626,0.6494223968738418,0.10214881739137775,4.33385116795439,0.14037814600076562,0.5977407551992782,0.2273610359186049
2,1.25,10,26311.22704087354,14.421324683255989,0.05637917068166916,0.47667512140378054,0.10083231081092604,9.09640736692834,0.12781953313535505,0.43712665463660494,0.19780052021246192
2,1.25,20,27946.224710899456,68.03041083145457,0.04716202632625152,0.2505714830419977,0.0793827937265755,34.073297800361686,0.10810308406409357,0.20934646173410995,0.1425801262021595
2,1.25,30,28455.969343061708,131.66106876086008,0.03338239093427473,0.14683000028417242,0.05439733014168202,58.614460675091635,0.08711234327811004,0.0932541761814026,0.09007868901584276
2,1.25,50,28793.645918513932,208.7859701192647,0.014022467033621101,0.05293987493292371,0.022172093424744094,82.14598904697708,0.07864344611659603,0.04692206086294992,0.05877589560891343
2,1.5,2,18754.304271799352,0.5403789147314918,0.03629803569276182,0.7594345071556723,0.06928453811471717,1.413776764581205,0.13695914719087002,0.7375522362916415,0.23101934908830687
